month,hs300_ret,hs300_vol
2002-02-01,0.01869679806181246,0.01372128604723232
2002-03-01,0.05532928974138729,0.01732310523288508
2002-04-01,0.03056112605883987,0.010483533325202472
2002-05-01,-0.08498035249522196,0.013417009986752224
2002-06-01,0.15549941586191252,0.02549899691676672
2002-07-01,-0.0510175205687633,0.007299008550675171
2002-08-01,0.002310478883194911,0.006646985368640271
2002-09-01,-0.05556902309413514,0.0071426364348057166
2002-10-01,-0.04691316157093839,0.00872446006086923
2002-11-01,-0.04955367416990253,0.01470391465093818
2002-12-01,-0.05235794054359444,0.010280750235866784
2003-01-01,0.09419367348621499,0.017414188230859953
2003-02-01,0.005187989039389773,0.009683863623484532
2003-03-01,0.0010759048392650072,0.009191959520860722
2003-04-01,0.0203955337862749,0.01523605104853532
2003-05-01,0.049125288720853755,0.013369500837469996
2003-06-01,-0.06635431040115614,0.008591195227234038
2003-07-01,0.006743254892564998,0.008266757980674276
2003-08-01,-0.03611815132771812,0.0062141639509203945
2003-09-01,-0.04363748054852734,0.007895770409247901
2003-10-01,-0.013775524688948382,0.010382910504638555
2003-11-01,0.028209356280085585,0.014356807816575154
2003-12-01,0.04529320413832316,0.009515841489231572
2004-01-01,0.07247577723763432,0.015564196630275508
2004-02-01,0.05484596522062146,0.012460010613542221
2004-03-01,0.024669838192969973,0.011355258179293027
2004-04-01,-0.10486557676283825,0.009358914776743655
2004-05-01,-0.026521311263833836,0.014158169154762455
2004-06-01,-0.1063570097469344,0.012099928558784202
2004-07-01,0.009450293699031498,0.013375550597314914
2004-08-01,-0.030042886916872402,0.010413758884797553
2004-09-01,0.050526056611456704,0.020120093133270612
2004-10-01,-0.05320807987567211,0.01472997446666051
2004-11-01,0.011915654494577321,0.011949938379226572
2004-12-01,-0.059101592564644534,0.00886225939320986
2005-01-01,-0.04512099999999997,0.012182924751698257
2005-02-01,0.08913171197607239,0.018516127217741842
2005-03-01,-0.09402599450571114,0.01034269564595788
2005-04-01,-0.010409646328869648,0.015708025340448604
2005-05-01,-0.08199207417457188,0.010479302722264409
2005-06-01,0.026567096522444267,0.02353155302018519
2005-07-01,0.010786560841984372,0.013700392329195137
2005-08-01,0.04475749974103893,0.01253144944512373
2005-09-01,-0.011341543846641322,0.011325959722140094
2005-10-01,-0.04481181436070947,0.009493215448974296
